grid_lat,grid_lon,n_species_baseline,n_species_recent,richness_change,richness_ratio,climate_departure
27.75,-18.0,0.0,1.0,1.0,,0.05
27.75,-15.75,0.0,1.0,1.0,,0.05
28.0,-17.25,0.0,1.0,1.0,,0.05
28.0,-17.0,0.0,1.0,1.0,,0.05
28.0,-16.75,0.0,1.0,1.0,,0.05
28.0,-16.5,0.0,1.0,1.0,,0.05
28.0,-15.75,0.0,1.0,1.0,,0.05
28.0,-15.5,1.0,1.0,0.0,1.0,0.05
28.25,-17.25,0.0,1.0,1.0,,0.05
28.25,-17.0,0.0,1.0,1.0,,0.05
28.25,-16.75,0.0,2.0,2.0,,0.05
28.25,-16.5,0.0,2.0,2.0,,0.05
28.25,-16.25,0.0,1.0,1.0,,0.05
28.5,-18.0,0.0,1.0,1.0,,0.05
28.5,-17.75,0.0,2.0,2.0,,0.05
28.5,-16.75,0.0,2.0,2.0,,0.05
28.5,-16.5,0.0,2.0,2.0,,0.05
28.5,-16.25,0.0,2.0,2.0,,0.05
28.75,-18.0,0.0,2.0,2.0,,0.05
28.75,-17.75,0.0,2.0,2.0,,0.05
29.0,-13.75,0.0,1.0,1.0,,0.05
29.25,-13.5,0.0,1.0,1.0,,0.05
32.75,-17.25,0.0,2.0,2.0,,0.05
32.75,-17.0,2.0,2.0,0.0,1.0,0.05
32.75,-16.75,0.0,2.0,2.0,,0.05
33.0,-16.25,0.0,1.0,1.0,,0.05
36.0,-5.75,0.0,1.0,1.0,,0.02666666666666667
36.0,-5.5,1.0,2.0,1.0,2.0,0.02666666666666667
36.0,-5.25,0.0,1.0,1.0,,0.01
36.25,-6.25,0.0,1.0,1.0,,0.006666666666666667
36.25,-5.5,0.0,2.0,2.0,,0.016666666666666666
36.25,-5.25,0.0,2.0,2.0,,0.016666666666666666
36.5,-6.25,0.0,2.0,2.0,,0.016666666666666666
36.5,-6.0,0.0,2.0,2.0,,0.016666666666666666
36.5,-5.75,1.0,1.0,0.0,1.0,0.03333333333333333
36.5,-5.5,0.0,2.0,2.0,,0.04
36.5,-5.25,1.0,2.0,1.0,2.0,0.03666666666666667
36.5,-5.0,0.0,1.0,1.0,,0.03666666666666667
36.5,-4.75,1.0,2.0,1.0,2.0,0.04666666666666667
36.5,-4.5,0.0,2.0,2.0,,0.05
36.75,-6.5,0.0,1.0,1.0,,0.02
36.75,-6.25,2.0,1.0,-1.0,0.5,0.016666666666666666
36.75,-6.0,0.0,1.0,1.0,,0.03
36.75,-5.75,0.0,1.0,1.0,,0.03
36.75,-5.5,0.0,2.0,2.0,,0.03666666666666667
36.75,-5.25,1.0,2.0,1.0,2.0,0.05
36.75,-5.0,0.0,4.0,4.0,,0.08666666666666667
36.75,-4.75,3.0,2.0,-1.0,0.6666666666666666,0.11333333333333333
36.75,-4.5,1.0,3.0,2.0,3.0,0.09333333333333334
36.75,-4.25,0.0,1.0,1.0,,0.05
36.75,-4.0,0.0,2.0,2.0,,0.03666666666666667
36.75,-3.75,0.0,1.0,1.0,,0.04666666666666667
36.75,-3.5,0.0,1.0,1.0,,0.056666666666666664
36.75,-3.0,0.0,2.0,2.0,,0.05
36.75,-2.75,0.0,2.0,2.0,,0.05
36.75,-2.5,0.0,1.0,1.0,,0.043333333333333335
36.75,-2.25,0.0,1.0,1.0,,0.043333333333333335
36.75,-2.0,0.0,1.0,1.0,,0.05333333333333334
37.0,-25.0,0.0,1.0,1.0,,0.03666666666666667
37.0,-9.0,0.0,1.0,1.0,,0.013333333333333334
37.0,-8.75,0.0,4.0,4.0,,0.02
37.0,-8.5,0.0,2.0,2.0,,0.03333333333333333
37.0,-8.25,1.0,1.0,0.0,1.0,0.05
37.0,-8.0,0.0,1.0,1.0,,0.04
37.0,-7.75,0.0,1.0,1.0,,0.04
37.0,-7.5,0.0,1.0,1.0,,0.03666666666666667
37.0,-6.75,0.0,1.0,1.0,,0.016666666666666666
37.0,-6.5,1.0,1.0,0.0,1.0,0.016666666666666666
37.0,-5.5,0.0,1.0,1.0,,0.05
37.0,-5.0,0.0,1.0,1.0,,0.07
37.0,-4.75,0.0,1.0,1.0,,0.08333333333333333
37.0,-4.5,0.0,1.0,1.0,,0.09333333333333334
37.0,-4.0,2.0,1.0,-1.0,0.5,0.11
37.0,-3.75,0.0,2.0,2.0,,0.14666666666666667
37.0,-3.5,4.0,8.0,4.0,2.0,0.15333333333333332
37.0,-3.25,1.0,6.0,5.0,6.0,0.14333333333333334
37.0,-3.0,4.0,8.0,4.0,2.0,0.13333333333333333
37.0,-2.75,0.0,5.0,5.0,,0.12333333333333334
37.25,-9.0,0.0,4.0,4.0,,0.01
37.25,-8.75,0.0,5.0,5.0,,0.023333333333333334
37.25,-8.5,3.0,5.0,2.0,1.6666666666666667,0.02666666666666667
37.25,-8.25,2.0,2.0,0.0,1.0,0.03
37.25,-8.0,0.0,3.0,3.0,,0.03
37.25,-7.75,1.0,2.0,1.0,2.0,0.043333333333333335
37.25,-7.5,1.0,2.0,1.0,2.0,0.04
37.25,-7.25,0.0,1.0,1.0,,0.04
37.25,-7.0,1.0,1.0,0.0,1.0,0.013333333333333334
37.25,-6.75,0.0,1.0,1.0,,0.013333333333333334
37.25,-6.5,0.0,1.0,1.0,,0.02
37.25,-6.25,0.0,1.0,1.0,,0.03666666666666667
37.25,-6.0,1.0,2.0,1.0,2.0,0.05
37.25,-5.5,0.0,1.0,1.0,,0.06666666666666667
37.25,-5.25,0.0,1.0,1.0,,0.07333333333333333
37.25,-4.5,0.0,1.0,1.0,,0.07333333333333333
37.25,-4.25,0.0,1.0,1.0,,0.09
37.25,-4.0,1.0,0.0,-1.0,0.0,0.12
37.25,-3.75,0.0,1.0,1.0,,0.15333333333333332
37.25,-3.5,1.0,4.0,3.0,4.0,0.16
37.25,-3.25,1.0,6.0,5.0,6.0,0.15333333333333332
37.25,-3.0,2.0,2.0,0.0,1.0,0.16
37.25,-2.75,0.0,1.0,1.0,,0.14
37.25,-2.5,1.0,2.0,1.0,2.0,0.13666666666666666
37.25,-2.25,1.0,0.0,-1.0,0.0,0.10333333333333333
37.5,-8.75,0.0,3.0,3.0,,0.023333333333333334
37.5,-8.5,0.0,1.0,1.0,,0.023333333333333334
37.5,-8.0,0.0,1.0,1.0,,0.02666666666666667
37.5,-6.75,0.0,1.0,1.0,,0.03
37.5,-6.25,0.0,1.0,1.0,,0.03666666666666667
37.5,-6.0,0.0,1.0,1.0,,0.043333333333333335
37.5,-5.5,1.0,0.0,-1.0,0.0,0.06666666666666667
37.5,-4.5,0.0,1.0,1.0,,0.08333333333333333
37.5,-4.0,0.0,1.0,1.0,,0.10333333333333333
37.5,-3.25,0.0,1.0,1.0,,0.15666666666666668
37.5,-2.75,0.0,1.0,1.0,,0.13333333333333333
37.5,-2.5,0.0,2.0,2.0,,0.13666666666666666
37.5,-2.25,0.0,1.0,1.0,,0.13
37.5,-1.75,0.0,1.0,1.0,,0.08333333333333333
37.5,-1.5,0.0,1.0,1.0,,0.06
37.5,-1.25,0.0,1.0,1.0,,0.056666666666666664
37.5,-1.0,1.0,0.0,-1.0,0.0,0.06
37.75,-25.75,1.0,2.0,1.0,2.0,0.04666666666666667
37.75,-25.5,0.0,2.0,2.0,,0.04666666666666667
37.75,-25.25,1.0,2.0,1.0,2.0,0.04666666666666667
37.75,-8.75,5.0,4.0,-1.0,0.8,0.013333333333333334
37.75,-8.5,0.0,2.0,2.0,,0.016666666666666666
37.75,-7.75,0.0,1.0,1.0,,0.02666666666666667
37.75,-7.5,0.0,1.0,1.0,,0.02666666666666667
37.75,-6.75,2.0,1.0,-1.0,0.5,0.04666666666666667
37.75,-6.5,0.0,2.0,2.0,,0.04
37.75,-6.0,0.0,1.0,1.0,,0.043333333333333335
37.75,-5.5,0.0,1.0,1.0,,0.06333333333333334
37.75,-5.25,0.0,1.0,1.0,,0.07
37.75,-4.75,0.0,1.0,1.0,,0.11
37.75,-3.75,1.0,1.0,0.0,1.0,0.13333333333333333
37.75,-3.5,0.0,1.0,1.0,,0.13333333333333333
37.75,-3.0,4.0,4.0,0.0,1.0,0.16
37.75,-2.75,0.0,1.0,1.0,,0.16
37.75,-2.25,0.0,2.0,2.0,,0.13333333333333333
37.75,-2.0,0.0,1.0,1.0,,0.12333333333333334
37.75,-1.75,0.0,1.0,1.0,,0.09666666666666666
37.75,-1.5,0.0,1.0,1.0,,0.07666666666666666
37.75,-1.0,0.0,1.0,1.0,,0.06
38.0,-25.75,0.0,2.0,2.0,,0.05
38.0,-9.0,1.0,0.0,-1.0,0.0,0.006666666666666667
38.0,-8.75,0.0,2.0,2.0,,0.01
38.0,-8.0,0.0,1.0,1.0,,0.023333333333333334
38.0,-7.5,1.0,1.0,0.0,1.0,0.02666666666666667
38.0,-7.25,0.0,2.0,2.0,,0.03333333333333333
38.0,-6.75,1.0,1.0,0.0,1.0,0.03666666666666667
38.0,-6.5,0.0,2.0,2.0,,0.043333333333333335
38.0,-6.25,1.0,1.0,0.0,1.0,0.05
38.0,-5.75,0.0,2.0,2.0,,0.05
38.0,-5.5,0.0,2.0,2.0,,0.06333333333333334
38.0,-5.25,0.0,0.0,0.0,,0.07666666666666666
38.0,-5.0,1.0,1.0,0.0,1.0,0.08333333333333333
38.0,-4.75,0.0,3.0,3.0,,0.08666666666666667
38.0,-4.25,0.0,1.0,1.0,,0.12
38.0,-4.0,0.0,1.0,1.0,,0.12666666666666668
38.0,-3.75,1.0,0.0,-1.0,0.0,0.13333333333333333
38.0,-3.5,1.0,0.0,-1.0,0.0,0.13333333333333333
38.0,-3.25,1.0,1.0,0.0,1.0,0.13666666666666666
38.0,-3.0,5.0,6.0,1.0,1.2,0.14
38.0,-2.75,2.0,5.0,3.0,2.5,0.12666666666666668
38.0,-2.5,1.0,2.0,1.0,2.0,0.12
38.0,-2.25,0.0,4.0,4.0,,0.13333333333333333
38.0,-1.75,0.0,1.0,1.0,,0.12333333333333334
38.0,-1.5,3.0,1.0,-2.0,0.3333333333333333,0.09666666666666666
38.0,-1.25,0.0,1.0,1.0,,0.07
38.0,-1.0,1.0,1.0,0.0,1.0,0.06666666666666667
38.0,-0.75,0.0,1.0,1.0,,0.056666666666666664
38.25,-28.0,0.0,1.0,1.0,,0.05
38.25,-8.75,0.0,1.0,1.0,,0.023333333333333334
38.25,-8.25,0.0,1.0,1.0,,0.016666666666666666
38.25,-7.5,0.0,1.0,1.0,,0.023333333333333334
38.25,-6.75,1.0,0.0,-1.0,0.0,0.03333333333333333
38.25,-5.25,0.0,1.0,1.0,,0.07
38.25,-5.0,1.0,0.0,-1.0,0.0,0.07666666666666666
38.25,-4.5,0.0,2.0,2.0,,0.11333333333333333
38.25,-4.0,0.0,1.0,1.0,,0.10333333333333333
38.25,-3.5,1.0,0.0,-1.0,0.0,0.12666666666666668
38.25,-2.75,0.0,1.0,1.0,,0.13333333333333333
38.25,-2.5,0.0,2.0,2.0,,0.12
38.25,-2.25,0.0,2.0,2.0,,0.13
38.25,-2.0,0.0,3.0,3.0,,0.13333333333333333
38.25,-1.25,1.0,1.0,0.0,1.0,0.09666666666666666
38.25,-1.0,1.0,1.0,0.0,1.0,0.07666666666666666
38.25,-0.5,0.0,1.0,1.0,,0.05333333333333334
38.5,-28.75,0.0,3.0,3.0,,0.05
38.5,-28.5,0.0,2.0,2.0,,0.05
38.5,-28.25,0.0,3.0,3.0,,0.05
38.5,-28.0,0.0,2.0,2.0,,0.05
38.5,-27.75,0.0,1.0,1.0,,0.05
38.5,-9.25,2.0,5.0,3.0,2.5,0.023333333333333334
38.5,-9.0,1.0,5.0,4.0,5.0,0.02
38.5,-8.75,0.0,1.0,1.0,,0.02
38.5,-8.25,0.0,1.0,1.0,,0.013333333333333334
38.5,-8.0,0.0,1.0,1.0,,0.01
38.5,-7.5,1.0,0.0,-1.0,0.0,0.013333333333333334
38.5,-7.0,0.0,1.0,1.0,,0.03
38.5,-6.75,0.0,1.0,1.0,,0.03
38.5,-6.5,0.0,1.0,1.0,,0.03333333333333333
38.5,-5.0,0.0,1.0,1.0,,0.07666666666666666
38.5,-4.5,0.0,2.0,2.0,,0.09
38.5,-4.25,0.0,3.0,3.0,,0.09666666666666666
38.5,-4.0,0.0,1.0,1.0,,0.1
38.5,-3.75,2.0,0.0,-2.0,0.0,0.11
38.5,-3.5,0.0,1.0,1.0,,0.13
38.5,-3.25,0.0,1.0,1.0,,0.13
38.5,-2.5,0.0,4.0,4.0,,0.14333333333333334
38.5,-2.25,3.0,3.0,0.0,1.0,0.13666666666666666
38.5,-1.0,1.0,1.0,0.0,1.0,0.09666666666666666
38.5,-0.75,1.0,2.0,1.0,2.0,0.1
38.5,-0.5,2.0,2.0,0.0,1.0,0.09
38.5,-0.25,0.0,2.0,2.0,,0.08666666666666667
38.5,-0.0,1.0,2.0,1.0,2.0,0.07
38.75,-28.75,0.0,1.0,1.0,,0.04666666666666667
38.75,-28.25,1.0,2.0,1.0,2.0,0.04666666666666667
38.75,-28.0,0.0,1.0,1.0,,0.04666666666666667
38.75,-27.25,1.0,2.0,1.0,2.0,0.04666666666666667
38.75,-27.0,0.0,2.0,2.0,,0.04666666666666667
38.75,-9.5,4.0,6.0,2.0,1.5,0.023333333333333334
38.75,-9.25,4.0,7.0,3.0,1.75,0.013333333333333334
38.75,-9.0,1.0,4.0,3.0,4.0,0.013333333333333334
38.75,-8.5,0.0,1.0,1.0,,0.01
38.75,-8.25,1.0,1.0,0.0,1.0,0.01
38.75,-8.0,0.0,1.0,1.0,,0.01
38.75,-7.0,0.0,1.0,1.0,,0.023333333333333334
38.75,-6.75,0.0,0.0,0.0,,0.023333333333333334
38.75,-4.5,0.0,1.0,1.0,,0.08333333333333333
38.75,-4.25,1.0,2.0,1.0,2.0,0.09
38.75,-4.0,0.0,2.0,2.0,,0.09
38.75,-3.5,1.0,0.0,-1.0,0.0,0.12
38.75,-2.5,0.0,1.0,1.0,,0.13
38.75,-2.25,0.0,2.0,2.0,,0.12333333333333334
38.75,-1.5,0.0,1.0,1.0,,0.09333333333333334
38.75,-1.25,0.0,1.0,1.0,,0.09666666666666666
38.75,-1.0,0.0,1.0,1.0,,0.10666666666666667
38.75,-0.75,0.0,3.0,3.0,,0.12333333333333334
38.75,-0.5,0.0,2.0,2.0,,0.13666666666666666
38.75,-0.25,1.0,2.0,1.0,2.0,0.10666666666666667
38.75,-0.0,1.0,1.0,0.0,1.0,0.08666666666666667
38.75,0.25,0.0,2.0,2.0,,0.05
39.0,-28.0,0.0,2.0,2.0,,0.05
39.0,-9.5,0.0,4.0,4.0,,0.03333333333333333
39.0,-9.25,1.0,5.0,4.0,5.0,0.02
39.0,-9.0,0.0,1.0,1.0,,0.013333333333333334
39.0,-8.75,0.0,1.0,1.0,,0.013333333333333334
39.0,-8.25,0.0,1.0,1.0,,0.01
39.0,-8.0,0.0,1.0,1.0,,0.01
39.0,-7.75,0.0,1.0,1.0,,0.01
39.0,-7.5,1.0,0.0,-1.0,0.0,0.01
39.0,-7.0,0.0,1.0,1.0,,0.016666666666666666
39.0,-6.25,0.0,2.0,2.0,,0.03666666666666667
39.0,-5.5,0.0,1.0,1.0,,0.04666666666666667
39.0,-4.5,0.0,1.0,1.0,,0.07666666666666666
39.0,-4.25,0.0,1.0,1.0,,0.08333333333333333
39.0,-4.0,4.0,1.0,-3.0,0.25,0.08333333333333333
39.0,-3.75,1.0,1.0,0.0,1.0,0.09333333333333334
39.0,-3.5,0.0,1.0,1.0,,0.09333333333333334
39.0,-3.0,0.0,1.0,1.0,,0.12
39.0,-2.75,1.0,1.0,0.0,1.0,0.12333333333333334
39.0,-2.0,0.0,1.0,1.0,,0.10666666666666667
39.0,-1.75,0.0,1.0,1.0,,0.1
39.0,-1.0,0.0,1.0,1.0,,0.12666666666666668
39.0,-0.75,0.0,2.0,2.0,,0.12666666666666668
39.0,-0.5,0.0,1.0,1.0,,0.13
39.0,-0.25,0.0,1.0,1.0,,0.09666666666666666
39.0,1.25,0.0,1.0,1.0,,0.06666666666666667
39.0,1.5,2.0,1.0,-1.0,0.5,0.07
39.25,-9.5,0.0,3.0,3.0,,0.03666666666666667
39.25,-9.25,2.0,5.0,3.0,2.5,0.03
39.25,-9.0,0.0,5.0,5.0,,0.016666666666666666
39.25,-8.75,1.0,3.0,2.0,3.0,0.01
39.25,-8.5,0.0,2.0,2.0,,0.01
39.25,-8.25,2.0,0.0,-2.0,0.0,0.013333333333333334
39.25,-7.5,1.0,3.0,2.0,3.0,0.006666666666666667
39.25,-7.25,0.0,2.0,2.0,,0.006666666666666667
39.25,-6.25,2.0,0.0,-2.0,0.0,0.03666666666666667
39.25,-4.5,0.0,1.0,1.0,,0.06666666666666667
39.25,-4.25,1.0,1.0,0.0,1.0,0.06
39.25,-4.0,0.0,1.0,1.0,,0.06333333333333334
39.25,-3.75,0.0,1.0,1.0,,0.06666666666666667
39.25,-2.5,0.0,1.0,1.0,,0.11666666666666667
39.25,-1.75,0.0,1.0,1.0,,0.06333333333333334
39.25,-1.25,0.0,1.0,1.0,,0.07333333333333333
39.25,-1.0,0.0,2.0,2.0,,0.1
39.25,-0.75,1.0,0.0,-1.0,0.0,0.1
39.25,-0.5,1.0,1.0,0.0,1.0,0.10666666666666667
39.25,-0.25,0.0,1.0,1.0,,0.08333333333333333
39.25,3.0,0.0,1.0,1.0,,0.05
39.25,3.25,0.0,1.0,1.0,,0.03666666666666667
39.5,-31.25,0.0,2.0,2.0,,0.07
39.5,-9.5,0.0,1.0,1.0,,0.05333333333333334
39.5,-9.25,2.0,5.0,3.0,2.5,0.03333333333333333
39.5,-9.0,3.0,4.0,1.0,1.3333333333333333,0.02666666666666667
39.5,-8.75,2.0,5.0,3.0,2.5,0.013333333333333334
39.5,-8.5,3.0,5.0,2.0,1.6666666666666667,0.01
39.5,-8.25,0.0,2.0,2.0,,0.01
39.5,-8.0,0.0,4.0,4.0,,0.01
39.5,-7.75,0.0,1.0,1.0,,0.006666666666666667
39.5,-7.5,0.0,2.0,2.0,,0.006666666666666667
39.5,-7.25,0.0,2.0,2.0,,0.01
39.5,-6.25,0.0,1.0,1.0,,0.02666666666666667
39.5,-6.0,0.0,1.0,1.0,,0.043333333333333335
39.5,-5.75,0.0,1.0,1.0,,0.043333333333333335
39.5,-5.5,2.0,1.0,-1.0,0.5,0.043333333333333335
39.5,-5.25,0.0,1.0,1.0,,0.04666666666666667
39.5,-4.75,0.0,1.0,1.0,,0.05333333333333334
39.5,-4.5,1.0,2.0,1.0,2.0,0.05333333333333334
39.5,-4.25,1.0,1.0,0.0,1.0,0.05333333333333334
39.5,-3.75,1.0,0.0,-1.0,0.0,0.06
39.5,-3.25,0.0,1.0,1.0,,0.06666666666666667
39.5,-2.75,1.0,0.0,-1.0,0.0,0.10333333333333333
39.5,-2.5,0.0,1.0,1.0,,0.13666666666666666
